ID,Replace,Description,Str
EDITOR_QUIT_P_MSG,0,에디터 종료 팝업 메세지,Are you sure you want to quit the editor?
EDITOR_REMOVE_LP_MSG,0,에디터 레벨 제거 팝업 메세지,Are you sure you want to remove the level?
EDITOR_REMOVE_SP_MSG,0,에디터 스테이지 제거 팝업 메세지,Are you sure you want to remove the stage?
EDITOR_REMOVE_CP_MSG,0,에디터 챕터 제거 팝업 메세지,Are you sure you want to remove the chapter?
ALERT_P_TITLE,0,경고 팝업 제목,Notice
ALERT_P_OK_BTN_TEXT,0,경고 팝업 확인 버튼 텍스트,OK
ALERT_P_CANCEL_BTN_TEXT,0,경고 팝업 취소 버튼 텍스트,Cancel
QUIT_P_MSG,0,종료 팝업 메세지,Are you sure you want to quit the game?
UPDATE_P_MSG,0,업데이트 팝업 메세지,A new version has been released.\nWould you like to update it?
AGREE_P_SERVICES_TITLE,0,약관 동의 팝업 서비스 제목,Terms of Service
AGREE_P_PRIVACY_TITLE,0,약관 동의 팝업 개인 정보 제목,Privacy Policy
AGREE_P_AGREE_TEXT,0,약관 동의 팝업 동의 텍스트,Agree
AGREE_P_EU_TITLE,0,약관 동의 팝업 EU 제목,Notice
AGREE_P_DESC_TEXT_01,0,약관 동의 팝업 설명 텍스트 1,Tap OK to accept our
AGREE_P_DESC_TEXT_02,0,약관 동의 팝업 설명 텍스트 2,and
AGREE_P_SERVICES_BTN_TEXT,0,약관 동의 팝업 서비스 버튼 텍스트,Terms of Service
AGREE_P_PRIVACY_BTN_TEXT,0,약관 동의 팝업 개인 정보 버튼 텍스트,Privacy Policy
AGREE_P_OK_BTN_TEXT,0,약관 동의 팝업 확인 버튼 텍스트,OK
DESC_P_TITLE,0,설명 팝업 제목,Notice
DESC_P_MSG,0,설명 팝업 메세지,Allow tracking on the\nnext screen for
DESC_P_DESC_MSG_01,0,설명 팝업 설명 메세지 1,∙ Special offers and promotions\njust for you
DESC_P_DESC_MSG_02,0,설명 팝업 설명 메세지 2,∙ Advertisements that match\nyour interests
DESC_P_DESC_MSG_03,0,설명 팝업 설명 메세지 3,∙ An improved personalized\nexperience over time
DESC_P_NEXT_BTN_TEXT,0,설명 팝업 다음 버튼 텍스트,Next
START_SM_LOADING_TEXT,0,시작 씬 관리자 로딩 텍스트,Loading
COMMON_LOGIN_SUCCESS_MSG,0,공용 로그인 성공 메세지,You have successfully login
COMMON_LOGIN_FAIL_MSG,0,공용 로그인 실패 메세지,You have failed to login
COMMON_LOGOUT_SUCCESS_MSG,0,공용 로그아웃 성공 메세지,You have successfully logout
COMMON_LOGOUT_FAIL_MSG,0,공용 로그아웃 실패 메세지,You have failed to logout
COMMON_LOAD_SUCCESS_MSG,0,공용 로드 성공 메세지,You have successfully loaded progress.
COMMON_LOAD_FAIL_MSG,0,공용 로드 실패 메세지,You have failed to load progress.
COMMON_SAVE_SUCCESS_MSG,0,공용 저장 성공 메세지,You have successfully saved progress.
COMMON_SAVE_FAIL_MSG,0,공용 저장 실패 메세지,You have failed to save progress.
COMMON_PURCHASE_SUCCESS_MSG,0,공용 결제 성공 메세지,You have successfully purchased this product.
COMMON_PURCHASE_FAIL_MSG,0,공용 결제 실패 메세지,You have failed to purchase this product.
COMMON_RESTORE_SUCCESS_MSG,0,공용 복원 성공 메세지,The product has been restored.
COMMON_RESTORE_FAIL_MSG,0,공용 복원 실패 메세지,Failed to restore the product.
COMMON_GET_TEXT,0,공용 획득 텍스트,Get
COMMON_NEXT_TEXT,0,공용 다음 텍스트,Next
COMMON_LEAVE_TEXT,0,공용 나가기 텍스트,Leave
COMMON_WATCH_ADS_TEXT,0,공용 광고 시청 텍스트,Watch Ads
COMMON_LEVEL_TEXT,0,공용 레벨 텍스트,Level
COMMON_STAGE_TEXT,0,공용 스테이지 텍스트,Stage
COMMON_CHAPTER_TEXT,0,공용 챕터 텍스트,Chapter
COMMON_LEVEL_PAGE_TEXT_FMT,0,공용 레벨 페이지 텍스트 형식,Level {0}/{1}
COMMON_STAGE_PAGE_TEXT_FMT,0,공용 스테이지 페이지 텍스트 형식,Stage {0}/{1}
COMMON_CHAPTER_PAGE_TEXT_FMT,0,공용 챕터 페이지 텍스트 형식,Chapter {0}/{1}
COMMON_NUM_LEVELS_TEXT_FMT,0,공용 레벨 개수 텍스트 형식,Levels : {0}
COMMON_NUM_STAGES_TEXT_FMT,0,공용 스테이지 개수 텍스트 형식,Stages : {0}
COMMON_NUM_CHAPTERS_TEXT_FMT,0,공용 챕터 개수 텍스트 형식,Chapters : {0}
